地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
地铁口 精装 全明通透 高得房率 科技宅 换房急售急 3室2厅 | 117.37㎡ | 低层 （共33层） | 南北向 | 2021年建 | 孔倩 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满二 距1号线晓庄站约582米 305 万 25986元/㎡
特价 仙林 · 康桥圣菲 · 2室 · 1厅 双重验真 官方发布 房天下房源字典核验 2室1厅 | 51.71㎡ | 中层 （共5层） | 南向 | 2007年建 | 孟全 康桥圣菲 仙林-文范路9号 满五 优质教育 距2号线学则路站约490米 135 万 26107元/㎡ 低于市场价56万
特价 亚东城东单室套 楼栋位置好不靠地铁安静 中高楼层 价格好谈 双重验真 官方发布 房天下房源字典核验 1室1厅 | 51.71㎡ | 高层 （共19层） | 东北向 | 2008年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 119 万 23012元/㎡ 低于市场价23万
170可谈 三金燕语庭不仅给您家的温馨,更是一中生活品味 2室2厅 | 88.98㎡ | 低层 （共19层） | 南向 | 2015年建 | 夏菊 三金燕语庭 燕子矶-和燕路480号( 神农路与和燕路交汇) 满五 距1号线燕子矶站约483米 176 万 19779元/㎡
特价 来电咨询底价!栖霞燕子矶 双地铁口精装三房 龙湖翡翠上城 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2021年建 | 王彩丽 滨江龙湖翡翠上城 万寿-恒竞路与尧新大道交叉口向南200米 满二 168 万 18876元/㎡ 低于市场价9万
来电咨询折扣!栖霞兴智6号线地铁口精装三房 都会峯范 3室2厅 | 110㎡ | 中层 （共25层） | 南北向 | 2023年建 | 尹伟 金地都会峯范 万寿-金地都会峯范 210 万 19090元/㎡
特价 仙林 · 东方天郡东区 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 92㎡ | 低层 （共15层） | 南向 | 2007年建 | 余莉莉 东方天郡 仙林-仙林大学城杉湖西路8号 满五 优质教育 距2号线学则路站约582米 280 万 30434元/㎡ 低于市场价53万
热搜 人气 内部特价!倒挂盘,品质小区 二十九中在旁 免费看房车 3室2厅 | 89.36㎡ | 中层 （共27层） | 南北向 | 2022年建 | 廖斯敏 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 205 万 22940元/㎡
人气 天泓山庄松山苑60万婚装 低密洋房 含车库拎包入住 诚售 3室2厅 | 147.36㎡ | 中层 （共4层） | 南北向 | 2007年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 415 万 28162元/㎡
天悦花园 顶楼送阁楼 采光 南北通透 诚售 2室2厅 | 84.96㎡ | 顶层 （共6层） | 南北向 | 2003年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 148 万 17419元/㎡
热搜 人气 年底特惠!一号线迈皋桥地铁站 29中 金浦御龙湾 3室1厅 | 88.71㎡ | 中层 （共20层） | 南向 | 2018年建 | 廖斯敏 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 198 万 22319元/㎡
3面环露台 金尧华府精装3房 125万拎包住 地铁口 3室1厅 | 85.78㎡ | 低层 （共16层） | 南向 | 吴彩娣 金尧华府 尧化-栖霞尧化街道尧辰社区尧佳路28-18号 满五 距7号线尧化门站约352米 135 万 15737元/㎡
人气 马群 天泓山庄 无税 有钥匙 房主狂甩 高品质好房 小高层 3室2厅 | 133.1㎡ | 低层 （共18层） | 南北向 | 2008年建 | 张磊 天泓山庄 马群-环陵路1号 满五 优质教育 距2号线马群站约886米 318 万 23891元/㎡
特价 仙林湖 · 新城香悦澜山 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 105.05㎡ | 低层 （共26层） | 南北向 | 2018年建 | 张月红 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 228 万 21703元/㎡ 低于市场价63万
热卖房源,电建洺悦府南苑,适中楼层,舒适环境,就等你来 3室2厅 | 87.71㎡ | 高层 （共11层） | 南北向 | 2000年建 | 凌晓伟 电建洺悦府 万寿-迈尧路611号(迈尧路与恒竞路交汇处) 满五 215 万 24512元/㎡
奥南 鲁能公馆 精装修 三房 高楼层 诚售 3室2厅 | 124.38㎡ | 中层 （共31层） | 南向 | 2018年建 | 陈小丽 栖霞鲁能公馆 尧化-新城路和翠林北路交汇处 满二 距7号线尧化门站约844米 498 万 40038元/㎡
仙林 · 恒基旭辉玲珑翠谷(玲珑翠谷三期) · 3室 ·2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 103.57㎡ | 高层 （共6层） | 南北向 | 2021年建 | 孟全 恒基旭辉·玲珑翠谷 仙林-学林路与文鼎路交汇处 满二 380 万 36690元/㎡
仙林 金中金小 高科荣境 178平 精装修满两年 急降50万 4室2厅 | 178.53㎡ | 高层 （共11层） | 南北向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 650 万 36408元/㎡
特价 热搜 人气 亚东单室套 抄底的价格 致命的诱惑 随时看房随时可谈! 双重验真 官方发布 房天下房源字典核验 2室1厅 | 51.81㎡ | 底层 （共19层） | 北向 | 2008年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 120 万 23161元/㎡ 低于市场价20万
紫金山脚下天泓山庄 秀山洋房上叠 150平露台带阳光房 4室2厅 | 229.73㎡ | 高层 （共4层） | 南北向 | 2005年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 490 万 21329元/㎡
特价 人气 ,多种房源供您挑选,机不可失哦 ! 3室2厅 | 100.76㎡ | 中层 （共24层） | 南北向 | 2019年建 | 凌晓伟 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 290 万 28781元/㎡ 低于市场价15万
急售 找我价格好谈 有钥匙 晓庄 地铁1 7号线 3室1厅 | 125.11㎡ | 高层 （共11层） | 南向 | 2010年建 | 夏菊 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 345 万 27575元/㎡
特价 仙林 · 沁兰雅筑 · 5室 · 3厅 双重验真 官方发布 房天下房源字典核验 独栋 | 卧室：5个 | 无花园 | 400㎡ | 南向 | 孟全 沁兰雅筑 仙林-仙隐北路15号 满五 优质教育 2580 万 64500元/㎡ 低于市场价308万
国庆大放送 20米十月广场站 栖霞区金中金小精装实景现房 3室2厅 | 80㎡ | 高层 （共22层） | 南北向 | 2022年建 | 张长伟 新生圩宝龙广场 栖霞-南京市栖霞区仙新路与恒发路交汇处 满二 距7号线仙新路站约1055米 145 万 18125元/㎡
迈皋桥 地铁口 保利朗诗蔚蓝 科技住宅 性价比高 3室1厅 | 137.01㎡ | 高层 （共32层） | 南北向 | 2000年建 | 钱俊马 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 距1号线晓庄站约582米 335 万 24450元/㎡
特价 仙鹤门 · 雁鸣山庄 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 68.14㎡ | 高层 （共5层） | 南向 | 2002年建 | 孟全 雁鸣山庄 仙鹤门-仙隐北路8号 满五 优质教育 169 万 24801元/㎡ 低于市场价12万
地铁口 燕子矶 精装 大四房 全明通透 高得房率 换 4室2厅 | 141.88㎡ | 低层 （共17层） | 南向 | 2022年建 | 孔倩 佳兆业燕然居 燕子矶-栖霞区观音门路2号 满二 397 万 27981元/㎡
钟山晶典 · 位置好 精装修一楼带院子 送车位 双重验真 官方发布 房天下房源字典核验 3室2厅 | 129.74㎡ | 底层 （共16层） | 南北向 | 2010年建 | 李雪 国浩钟山晶典 仙鹤门-金马路19号 满五 距2号线金马路站约683米 388 万 29905元/㎡
燕子矶 地铁口 阳光雅居 129平 三室两厅 急售 3室2厅 | 128.83㎡ | 高层 （共6层） | 南北向 | 2003年建 | 钱俊马 阳光雅居 迈皋桥-迈尧路232号 距7号线万寿站约212米 198 万 15369元/㎡
万寿 地铁口 电建洺悦府北苑二期 一楼性价比高 业主诚心出售 4室2厅 | 131.7㎡ | 底层 （共11层） | 南北向 | 2017年建 | 钱俊马 电建洺悦府 万寿-迈尧路611号(迈尧路与恒竞路交汇处) 273 万 20728元/㎡
南师 精装 高得房率 三开间朝南 全明通透 换房急售 3室2厅 | 86.84㎡ | 中层 （共34层） | 南北向 | 2020年建 | 孔倩 金浦紫御东方 晓庄-经五路与太新路交汇处 满二 距1号线笆斗山站约811米 198 万 22800元/㎡
人气 马群天悦花园 大户型 小区位置好 满五年 房主诚心出售 3室2厅 | 108.8㎡ | 中层 （共6层） | 南向 | 2005年建 | 张磊 天悦花园 马群-马群新街89-1号 满二 优质教育 距2号线马群站约504米 195 万 17922元/㎡
特价 仙林 · 三味公寓 · 1室 · 1厅户型好 双重验真 官方发布 房天下房源字典核验 1室1厅 | 43.01㎡ | 底层 （共6层） | 北向 | 2009年建 | 孟全 三味公寓 仙鹤门-仙隐北路2号 满五 80 万 18600元/㎡ 低于市场价15万
特价 热搜 多+幸福空间?健康生活日日上演燕熙台B区 3室2厅 | 103.71㎡ | 中层 （共30层） | 南向 | 2000年建 | 夏菊 燕熙台 晓庄-燕子矶街道太新路与经五路交汇处 满五 距1号线笆斗山站约754米 285 万 27480元/㎡ 低于市场价28万
特价 仙林 · 恒基旭辉玲珑翠谷(玲珑翠谷三期) · 2室 双重验真 官方发布 房天下房源字典核验 2室2厅 | 86.6㎡ | 中层 （共6层） | 南北向 | 2020年建 | 孟全 恒基旭辉·玲珑翠谷 仙林-学林路与文鼎路交汇处 满二 248 万 28637元/㎡ 低于市场价51万
特价 仙林羊山湖花园一楼带地下室院子一楼5房三卫南外南邮边 双重验真 官方发布 房天下房源字典核验 5室2厅 | 234.06㎡ | 底层 （共8层） | 南北向 | 2015年建 | 孟全 星叶羊山湖花园 仙林-仙境路18号 满五 650 万 27770元/㎡ 低于市场价291万
非常正气,楼层好、采光佳,让您居住非常舒适! 3室1厅 | 88.28㎡ | 底层 （共18层） | 南北向 | 2000年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满五 距2号线经天路站约1057米 235 万 26619元/㎡
仙林湖 · 融筑儒林花园 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 134.85㎡ | 低层 （共18层） | 南北向 | 2019年建 | 张月红 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 413 万 30626元/㎡
来电有优惠 主城心智 0成 开发商直销立减3万 宝龙广场 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2023年建 | 纪泽远 新生圩宝龙广场 栖霞-南京市栖霞区仙新路与恒发路交汇处 距7号线仙新路站约1055米 150 万 16853元/㎡
特价 人气 仙林 金中金小万达茂三期厨房带朝南窗 三开间朝南中间楼层 双重验真 官方发布 房天下房源字典核验 3室2厅 | 97㎡ | 低层 （共34层） | 南向 | 2018年建 | 余莉莉 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满二 优质教育 距4号线仙林湖站约713米 200 万 20618元/㎡ 低于市场价42万
热搜 人气 紫金山下 新上毛坯顶跃 位置好大露台 看房方便 诚售 双重验真 官方发布 房天下房源字典核验 3室2厅 | 133.6㎡ | 顶层 （共6层） | 南北向 | 2010年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 598 万 44760元/㎡
来电咨询折扣!燕子矶新核 一号线晓庄地铁站100米 精装交付 3室2厅 | 99㎡ | 中层 （共23层） | 南向 | 2023年建 | 廖斯敏 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 260 万 26262元/㎡
特价 仙林南邮高科旁 通透三房中间楼层采光好看房方便 双重验真 官方发布 房天下房源字典核验 2室2厅 | 96.08㎡ | 低层 （共18层） | 南北向 | 2015年建 | 孟全 中天铭廷 仙林-文成路3号(学海路和文成路交汇处) 满五 246 万 25603元/㎡ 低于市场价9万
特价 仙林湖万达茂旁DT保利罗兰香谷三房 满五诚售 双重验真 官方发布 房天下房源字典核验 3室2厅 | 99㎡ | 低层 （共18层） | 南向 | 2014年建 | 孟全 保利罗兰香谷 仙林-南京市栖霞区学森路200号 满五 优质教育 距4号线仙林湖站约1011米 216 万 21818元/㎡ 低于市场价49万
特价 仙林 · 咏梅山庄 · 5室 · 2厅 双重验真 官方发布 房天下房源字典核验 5室2厅 | 195㎡ | 高层 （共6层） | 南北向 | 2002年建 | 孟全 咏梅山庄 仙林-仙隐北路文苑路2号 满五 优质教育 468 万 24000元/㎡ 低于市场价38万
复地御钟山 紫金山脚下 低密度大平墅 中间楼层 诚售 5室2厅 | 252㎡ | 中层 （共7层） | 南向 | 2024年建 | 易功瑞 复地御钟山 马群-马群街道2号 满五唯一 优质教育 距2号线马群站约479米 960 万 38095元/㎡
热搜 人气 新特价金浦御龙湾 城北正核 配套成熟 晓庄口 性价比 3室2厅 | 87㎡ | 高层 （共30层） | 南北向 | 2023年建 | 张长伟 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 200 万 22988元/㎡
人气 金地湖城艺境 新上 书包房 金中金小金 双地铁 急降30万 3室2厅 | 101.74㎡ | 低层 （共27层） | 南向 | 2000年建 | 邓婷婷 金地湖城艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 228 万 22410元/㎡
仙鹤门保利紫晶山豪装四房 位置好 价格可谈 双重验真 官方发布 房天下房源字典核验 5室2厅 | 170.1㎡ | 低层 （共6层） | 南北向 | 2013年建 | 孟全 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 590 万 34685元/㎡
特价 晓庄95.48平精装修直接入住抄底价! 3室2厅 | 95.48㎡ | 高层 （共26层） | 南向 | 2000年建 | 夏菊 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 320 万 33514元/㎡ 低于市场价19万
晓庄138.29平朝南修身养性 地铁旁 4室2厅 | 138.29㎡ | 低层 （共11层） | 南向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 415 万 30009元/㎡
马群口 复地御钟山 顶楼跃层 有钥匙 品质居住 业主诚心出售 5室3厅 | 212㎡ | 顶层 （共7层） | 南向 | 2018年建 | 张磊 复地御钟山 马群-马群街道2号 满五 优质教育 距2号线马群站约479米 639 万 30141元/㎡
来电咨询底价!栖霞燕子矶 双地铁口精装三房 龙湖翡翠上城 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2021年建 | 戚亮辉 滨江龙湖翡翠上城 万寿-恒竞路与尧新大道交叉口向南200米 满二 178 万 20000元/㎡
特价 人气 仙林湖 · 新城香悦澜山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 82.26㎡ | 低层 （共27层） | 南向 | 2017年建 | 孟全 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 185 万 22489元/㎡ 低于市场价52万
融信世纪东方340万元超值极好精品业主抛售超值极好精品 3室2厅 | 99.57㎡ | 中层 （共18层） | 南北向 | 2000年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满五 距2号线经天路站约1057米 258 万 25911元/㎡
特价 仙林 · 鸿运嘉园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 108.98㎡ | 高层 （共5层） | 南北向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满五 210 万 19269元/㎡ 低于市场价73万
马群 紫金山旁紫园毛坯三房 位置好楼层佳 送车位 3室2厅 | 138㎡ | 中层 （共8层） | 南向 | 2011年建 | 易功瑞 紫园 马群-栖霞马群环陵路99号 满五 满五唯一 优质教育 距2号线马群站约617米 380 万 27536元/㎡
锦麟融誉府 业主诚售 满二 价格还有空间 3室2厅 | 95.48㎡ | 高层 （共26层） | 南向 | 2021年建 | 凌晓伟 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满二 距1号线晓庄站约1109米 295 万 30896元/㎡
金陵中 2号线经天路4号线仙林湖低密科技宅 南大旁 3室2厅 | 105㎡ | 低层 （共26层） | 南北向 | 吴苑 云樾观山府 仙林-江苏省南京市栖霞区光启路与纬地路 推荐新房 289 万 27523元/㎡
特价 仙鹤门 · 香溪月园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 130.62㎡ | 底层 （共5层） | 南北向 | 2003年建 | 孟全 香溪月圆 仙鹤门-文枢西路6号 满五 距2号线仙鹤门站约1009米 270 万 20670元/㎡ 低于市场价49万
栖霞区仙鹤门朗诗钟山绿郡帕多瓦3室2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 123.41㎡ | 中层 （共6层） | 南北向 | 2011年建 | 孟全 朗诗钟山绿郡 仙鹤门-仙林大道与凯旋路交叉口 满五 优质教育 距2号线仙鹤门站约424米 635 万 51454元/㎡
人气 九年制南外學岖,128万起,精装现房,万科物业,靠谱! 3室2厅 | 88.01㎡ | 中层 （共18层） | 南北向 | 2018年建 | 段伟成 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 135 万 15339元/㎡
